Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770975726,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1770975727,10,,Aggregated,0.000000,0.000000,2,3,3,4,6,8,10,14,39,48,48,3021,0,2,2.985134278014164,0.6301659959717654,47.83658299857052,100.01787487586891
1770975728,20,,Aggregated,0.000000,0.000000,3,4,5,6,12,24,48,65,110,140,140,4585,0,3,6.11479261959814,0.6301659959717654,141.08129200030817,100.35179934569247
1770975729,30,,Aggregated,663.000000,0.000000,4,6,8,11,24,39,57,71,110,140,140,6333,0,4,8.99547486085061,0.6301659959717654,141.08129200030817,100.69272066950892
1770975730,40,,Aggregated,1690.500000,0.000000,5,8,13,17,31,46,65,78,130,150,150,8327,0,5,11.363047063762856,0.6301659959717654,148.21412500168663,100.86549777831152
1770975731,50,,Aggregated,1705.666667,0.000000,6,11,17,23,40,56,76,90,130,180,190,10204,0,6,14.110329064588123,0.6301659959717654,189.06658299965784,100.95952567620542
1770975732,60,,Aggregated,1732.000000,0.000000,7,14,23,29,47,66,91,110,190,220,240,11749,0,7,17.173658249308424,0.6301659959717654,237.7729170038947,101.01974636139246
1770975733,70,,Aggregated,1739.600000,0.000000,7,16,27,34,55,76,110,140,220,300,330,12907,0,7,19.95656927908772,0.6301659959717654,330.36870900104987,101.03788641822267
1770975734,80,,Aggregated,1759.833333,0.000000,8,19,30,38,64,92,160,270,520,590,620,13658,0,8,25.5400338728427,0.6301659959717654,619.3429170016316,101.05293600820032
1770975735,90,,Aggregated,1745.000000,0.000000,8,21,33,42,71,110,190,310,540,620,640,14286,0,8,28.757962493510625,0.6301659959717654,642.5362080044579,101.06194876102478
1770975736,100,,Aggregated,1632.250000,0.000000,9,23,36,46,80,130,240,430,830,900,920,14867,0,9,34.18533071475712,0.6301659959717654,918.5933330008993,101.07069348220892
1770975737,100,,Aggregated,1540.000000,0.000000,10,27,43,54,98,150,330,500,820,900,920,16104,0,10,40.167375474009944,0.6301659959717654,918.5933330008993,101.10283159463488
1770975738,100,,Aggregated,1431.400000,0.000000,11,28,46,59,110,180,430,550,840,920,940,16591,0,11,44.95766975308572,0.6301659959717654,943.5631259984802,101.11373636308842
1770975739,100,,Aggregated,1433.200000,0.000000,12,32,50,65,120,180,420,540,840,920,940,17648,0,12,46.886996852064556,0.6301659959717654,943.5631259984802,101.12732320942884
1770975740,100,,Aggregated,1278.700000,0.000000,13,35,54,69,120,190,460,610,890,1100,1100,18589,0,13,51.229953723500266,0.6301659959717654,1104.8181670048507,101.1321749421701
1770975741,100,,Aggregated,1163.200000,0.000000,15,40,60,75,130,190,450,590,880,1000,1100,20065,0,15,52.408671127434786,0.6301659959717654,1104.8181670048507,101.16087714926489
1770975742,100,,Aggregated,1073.300000,0.000000,16,43,64,79,130,190,430,570,880,1000,1100,21438,0,16,53.72809861199778,0.6301659959717654,1104.8181670048507,101.17800167926113
1770975743,100,,Aggregated,1002.800000,0.000000,19,47,68,83,130,190,410,560,880,1000,1100,22964,0,19,54.57230742275074,0.6301659959717654,1104.8181670048507,101.19456540672357
1770975744,100,,Aggregated,966.500000,0.000000,21,49,71,86,130,190,390,550,870,1000,1100,24224,0,21,55.20018421747159,0.6301659959717654,1104.8181670048507,101.22762549537649
1770975745,100,,Aggregated,933.800000,0.000000,23,52,74,89,140,190,440,560,870,1000,1100,25343,0,23,57.49865765750653,0.6301659959717654,1104.8181670048507,101.24941798524247
1770975746,100,,Aggregated,1003.600000,0.000000,23,53,76,92,140,210,460,580,870,1000,1100,25931,0,23,59.92322469839827,0.6301659959717654,1104.8181670048507,101.25644980910879
1770975747,100,,Aggregated,1036.400000,0.000000,25,56,78,93,140,200,440,570,870,1000,1100,27507,0,25,60.22324398898599,0.6301659959717654,1104.8181670048507,101.25124513760134
1770975748,100,,Aggregated,1108.000000,0.000000,27,58,79,95,140,200,430,560,860,1000,1100,29052,0,27,60.401992783974016,0.6301659959717654,1104.8181670048507,101.2517898939832
1770975749,100,,Aggregated,1096.400000,0.000000,29,60,82,98,140,200,420,550,860,980,1100,30179,0,29,61.535897423403846,0.6301659959717654,1104.8181670048507,101.25819278306106
1770975750,100,,Aggregated,1139.300000,0.000000,30,61,83,99,150,200,400,550,860,980,1100,31673,0,30,61.80331450686328,0.6301659959717654,1104.8181670048507,101.26445237268335
1770975751,100,,Aggregated,1233.700000,0.000000,32,63,84,100,150,200,390,540,850,980,1100,33072,0,32,62.11703383299372,0.6301659959717654,1104.8181670048507,101.28093251088534
